"empleo_fl","sexo","tipo_edu","region","egreso","hab_dig","hab_ciud","hab_num","hab_verb"
1,1,0,"Metropolitana",2021,727,765,0,0
0,0,0,"Metropolitana",2023,751,768,489,466
0,1,1,"Valparaiso",2023,644,661,465,385
0,0,1,"Maule",2023,752,791,0,0
0,0,0,"Metropolitana",2022,664,664,576,707
0,1,1,"Biobio",2022,644,644,465,534
1,0,1,"Los Lagos",2023,672,688,688,721
1,1,1,"Metropolitana",2022,823,879,599,721
1,0,0,"Valparaiso",2023,671,671,746,636
1,1,0,"Metropolitana",2021,661,661,505,656
0,1,0,"Coquimbo",2023,599,599,424,367
1,1,0,"Biobio",2021,781,807,0,0
1,1,0,"Biobio",2023,856,885,746,676
1,0,0,"OHiggins",2023,886,894,607,711
0,1,1,"Metropolitana",2023,658,659,498,524
1,1,0,"Metropolitana",2022,886,939,705,738
0,0,0,"Biobio",2023,451,451,0,0
0,0,0,"Metropolitana",2023,856,889,1000,802
0,1,1,"Maule",2021,433,438,0,0
0,1,0,"Los Lagos",2023,799,813,0,0
1,1,0,"Metropolitana",2022,727,727,607,597
1,1,0,"Araucania",2022,886,924,773,0
0,1,0,"Metropolitana",2023,942,1000,761,696
1,1,0,"Coquimbo",2023,751,765,669,686
1,0,0,"Metropolitana",2023,757,780,879,738
0,0,1,"Metropolitana",2023,481,481,489,496
1,1,1,"Los Lagos",2023,808,848,489,591
1,1,0,"Coquimbo",2023,870,916,696,721
0,0,1,"Maule",2022,523,523,575,434
1,0,0,"Biobio",2022,893,985,811,711
1,0,0,"Valparaiso",2023,828,858,897,689
1,0,0,"Maule",2022,742,816,575,573
1,0,0,"Metropolitana",2023,771,780,939,784
1,0,0,"Metropolitana",2023,751,751,680,641
0,0,1,"Tarapaca",2022,695,702,585,567
1,1,0,"Valparaiso",2023,837,869,642,625
1,0,0,"Antofagasta",2023,572,574,450,591
0,1,0,"Los Lagos",2022,793,849,549,534
0,1,0,"Los Rios",2023,942,989,746,567
0,0,0,"OHiggins",2013,657,657,0,819
0,0,0,"Los Lagos",2023,799,826,657,676
0,1,0,"Antofagasta",2023,727,727,0,0
0,1,0,"Valparaiso",2023,387,387,505,321
0,0,0,"Metropolitana",2023,970,981,939,947
0,0,0,"Maule",2023,346,346,489,466
0,1,0,"Metropolitana",2023,664,673,498,641
1,0,0,"Metropolitana",2023,771,793,827,854
0,0,1,"Valparaiso",2023,979,1000,669,759
1,0,1,"Nuble",2023,752,778,523,554
0,0,0,"Nuble",2023,937,941,669,699
1,1,0,"Metropolitana",2020,799,842,696,711
0,0,0,"Metropolitana",2023,542,542,505,481
0,1,1,"Valparaiso",2023,582,628,392,567
1,0,0,"Araucania",2023,771,777,746,754
1,0,1,"Coquimbo",2022,700,714,616,0
0,1,0,"Valparaiso",2023,536,536,549,711
0,0,0,"Magallanes",2023,727,748,761,707
0,0,1,"Los Lagos",2023,529,533,478,0
0,1,0,"Metropolitana",2021,751,779,844,686
0,0,0,"Maule",2023,586,586,599,506
0,0,0,"Maule",2023,808,833,505,597
0,1,0,"Valparaiso",2023,409,409,535,466
0,1,1,"Metropolitana",2005,402,402,0,510
1,1,0,"Valparaiso",2023,994,1000,679,707
0,0,0,"Coquimbo",2023,779,786,450,388
0,1,1,"Nuble",2023,667,667,450,405
1,1,0,"Valparaiso",2018,536,536,549,506
1,1,0,"Coquimbo",2023,722,753,535,524
1,0,0,"Aysen",2023,771,771,811,742
0,0,0,"Coquimbo",2023,870,894,917,738
0,1,1,"Valparaiso",2023,0,0,436,350
1,1,0,"Arica",2023,727,745,688,699
1,1,0,"Biobio",2023,799,808,436,519
1,0,0,"Metropolitana",2022,685,709,897,689
0,1,0,"Valparaiso",2022,657,657,523,665
1,1,1,"Metropolitana",2020,752,820,696,726
0,1,0,"Metropolitana",2023,397,419,0,0
1,0,0,"Maule",2023,922,927,746,726
0,1,0,"Magallanes",2023,680,680,424,554
1,1,0,"Antofagasta",2023,851,874,498,833
0,0,1,"Metropolitana",2022,396,396,478,496
1,0,0,"Araucania",2021,951,972,897,0
0,1,0,"Valparaiso",2023,742,761,563,476
